QUEST_20150317_000001	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20150317_000020	ข้าได้แบ่งพลังชิวิตของข้าและสถิตมันลงไปในข้อความจำนวนมากมาย{nl}ข้อความที่ข้าสร้างขึ้นอย่างลับๆ ตลอดระเวลาหลายร้อยหลายพันปี{nl}
QUEST_20150317_000021	ผู้กอบกู้เอ๋ย หากท่านสามารถช่วยให้ข้าได้ร่างที่แท้จริงของข้ากลับคืนมา เราจะสามารถร่วมมือกันหยุดยั้งแผนอันชั่วร้ายของพวกปีศาจ{nl}ท่านต้องตามหาชิ้นส่วนแห่งคำทำนาย{memo the english word is 'Revelations'}ที่ข้าได้ส่งพวกมันให้กระจัดกระจายออกไปและซ่อนเอาไว้
QUEST_20150317_000022	ภารกิจอันศักดิ์สิทธิ์นี้ช่างหนักหนานัก ข้ารู้ แต่นี่เป็นสิ่งที่ท่านมิอาจหลีกเลี่ยงได้{nl}ไม่แน่ว่า ในช่วงเวลาที่ท่านกำลังต้องฝ่าฟันความยากลำบาก อาจจะมีบางสิ่งเกิดขึ้นก็ได้{nl}
QUEST_20150317_000023	แต่ไม่ว่าจะอย่างไร มีเพียงพวกเราเท่ากันที่จะสามารถช่วยเหลือโลกนี้ได้{nl}
QUEST_20150317_000024	ข้าได้ส่งมอบชิ้นส่วนแห่งคำทำนาย{memo 'Revelation'}ชิ้นต่อไปให้แก่ Paladin คนแรก{memo cannot find a fitting translation for 'The first Paladin'}แล้ว{nl}เขาจะรอท่านอยู่ที่สวนดอกไม้ที่อยู่สูงที่สุด
QUEST_20150317_000025	{memo X}กลิ่นอายแห่งความมืดนี้ช่างให้ความรู้สึกหดหู่ยิ่งนัก…{nl}แต่หากว่าสิ่งนี้เป็นข้อความจากองค์เทพธิดา Laima จริงๆ แล้วล่ะก็ ข้าคงต้องบอกว่ามันเป็นสิ่งที่น่าอัศจรรย์ยิ่ง
QUEST_20150317_000026	{memo X}เอาล่ะ ตอนนี้เจ้าควรรีบไปพบ Sir Uska ได้แล้ว{nl}เขาจะบอกเจ้าเองว่าเจ้าต้องไปที่ใดต่อ{nl}ขอให้องค์เทพธิดาคุ้มครองเจ้า…
QUEST_20150317_000027	กรุณาเลือก Smart Gen ที่ท่านต้องการ
QUEST_20150317_000028	William
QUEST_20150317_000029	{memo X}ค่าจ้างคือ 100 silver{nl}ถือว่าเป็นราคาที่ถูกมากเลยนะถ้าเทียบกับที่เจ้าจะต้องเดินทางฝ่าฝูงมอนสเตอร์ไปน่ะ
QUEST_20150317_000030	Cyneburg
QUEST_20150317_000031	{memo X}เยี่ยม! เงินครบตามจำนวน{nl}นี่จะเป็นค่าแรงงานและค่าใช้จ่ายอื่นๆ สำหรับดำเนินการ
QUEST_20150317_000032	{memo X}เฮ้ เดี๋ยวก่อนเช่{nl}เจ้าก็รู้นี่นาว่าเงินจำนวนเท่านี้มันยังไม่พอ
QUEST_20150317_000033	{memo X}ข้าทำแบบนั้นไม่ได้หรอก!{nl}ข้าไม่สามารถทำงานให้ใครโดยที่ไม่ได้ค่าตอบแทนหรอกนะ แม้แต่เจ้าที่เป็น Revelator{memo cannot think of any good word in Thai} ก็ไม่มีข้อยกเว้น
QUEST_20150317_000034	Wandering Merchant
QUEST_20150317_000035	ข้าเป็นเพียงผู้ที่เดินทางไปตามสายลม เปรียบดั่งเมล็ดของดอก Dandelion{nl}ในเมื่อบางสิ่งทำให้เราได้มาพบกันอย่างน่าประหลาดเช่นนี้แล้ว บางทีท่านอาจจะอยากชมความประหลาดที่ข้าอยากนำเสนอดูบ้างกระมัง?
QUEST_20150317_000036	Kristina
QUEST_20150317_000037	ยินดีต้อนรับจ้า!{nl}กำลังมองหาเพื่อนร่วมการเดินทางอยู่ใช่มั้ย?{nl}ถ้าอย่างนั้นเจ้าก็มาถูกที่แล้วล่ะ เจ้าจะไม่ได้พบกับที่ใดที่สามารถหาคู่หูได้ดีเท่าที่นี่อีกแล้ว!
QUEST_20150317_000038	{memo X}เจ้าสามารถสั่งให้คู่หูของเจ้าดูเจ้าสู้เฉยๆ หรือจะสอนความสามารถพิเศษให้มันก็ยังได้{nl}และถ้าสามารถทำให้มันรักเจ้าได้ในระดับหนึ่ง เจ้าจะสามารถซื้ออุปกรณ์สวมใส่เจ๋งๆ ให้มันได้ด้วยนะ!{nl}
QUEST_20150317_000039	{memo X}แถมการเพิ่มค่าความรักให้พวกมันยังช่วยทำให้ได้รับค่าความอึดและการหลบหลีกที่มากขึ้นเมื่อเจ้าขึ้นขี่มัน!{nl}ฟังแล้วคิดยังไงบ้างล่ะ? อยากจะรับพวกมันไปเลี้ยงไว้สักตัวมั้ย?
QUEST_20150317_000040	{memo X}กล่องใบนี้ต้องใช้กุญแจเพื่อเปิด
QUEST_20150317_000041	เลือกเควส
QUEST_20150317_000042	เปลี่ยนแปลงสถานะของเควส
QUEST_20150317_000043	ต้องการเริ่มทันที?
QUEST_20150317_000044	ไอเทมที่จะถูกลบ
QUEST_20150317_000045	เลือก GenType
QUEST_20150317_000046	เลือกพิกัด
QUEST_20150317_000047	$Knight Titas
QUEST_20150317_000048	ถ้าอย่างนั้น เจ้าจงไปพบ Knight Commander Uska ในเมือง Klaipeda เถอะ{nl}แต่ก่อนอื่น ข้ามีเรื่องสำคัญต้องพูกกับเจ้าก่อน  ตามข้ามา
QUEST_20150317_000049	มันคงจะดีหากว่าจะมีช่วงเวลาให้ข้าได้ผ่อนคลายสักหน่อย…
QUEST_20150317_000050	Sparnas…{nl}เป็นศัตรูที่ไม่ควรประมาท…
QUEST_20150317_000051	Soldier Moody
QUEST_20150317_000052	เรารีบจัดการมอนสเตอร์พวกนี้กันก่อนเถอะ แล้วค่อยคุยกัน
QUEST_20150317_000053	Joint Investigation Team - Scott
QUEST_20150317_000054	ข้าน่ะ ปรารถนาถึงช่วงเวลาที่กลุ่มของข้าจะไม่มีความจำเป็นอีกต่อไปมานานมากแล้ว…{nl}มันคงเป็นยุคแสนสงบสุข…{nl}
QUEST_20150317_000055	ข้าไม่รู้ว่าจะเริ่มจากตรงไหนดี{nl}เจ้ารู้อะไรมาบ้างล่ะ?
QUEST_20150317_000056	โดยพระราชโองการ พวกเราเข้ามาที่ป่านี้เพื่อตรวจสอบเกี่ยวกับเหตุการณ์ประหลาด{nl}มีผู้เห็นเหตุการณ์รายงานว่าได้เห็นบางสิ่งที่มีใบหน้าขนาดใหญ่และนิ้วมือผอมแห้ง{nl}มันคืออะไรกันแน่นะ?
QUEST_20150317_000057	เมื่อสมัยก่อนมักจะมีผู้แสวงบุญเดินทางผ่านป่าผืนนี้{nl}แต่ดูตอนนี้สิ มีแต่ทหารอยู่เต็มไปหมดเพราะต้องอยู่เฝ้าคอยจัดการพวกมอนสเตอร์ที่โผล่ออกมา
QUEST_20150317_000058	ตั้งแต่อดีตจนถึงเมื่อสี่ปีก่อน พวกเราได้รับการอวยพรจากเหล่าเทพธิดาอยู่บ่อยครั้ง มันทำให้เราได้รับรู้ถึงการคงอยู่ของพวกนาง{nl}แต่ในเวลานี้ ไม่ว่าจะร่วมกันสวดอ้อนวอนเท่าไรกลับไม่มีสิ่งใดเกิดขึ้นเลย{nl}หรือนี่พวกนางได้ทอดทิ้งเราไปแล้วจริงๆ ?
QUEST_20150317_000059	ผบ. Vacenin ออกไปจัดการภารกิจที่แคว้นต่างๆ ด้วยตังเองน่ะ{nl}เขาไม่ค่อยชอบอยู่ในเมืองสักเท่าไหร่
QUEST_20150317_000060	เจ้าแค่มาหาที่พักเฉยๆ หรืออยากจะมาสมัครเข้าร่วมกับกองทัพล่ะ?{nl}ถ้าเจ้าสนใจ ข้าสามารถพาเจ้าไปแนะนำกับผู้บังคับบัญชาระดับสูงได้เลยนะ
QUEST_20150317_000061	อย่าได้ประมาทเชียว เจ้าพวกมอนสเตอร์น่ะ มันโผล่ออกมาไม่เลือกที่เลือกเวลาหรอกนะ
QUEST_20150317_000062	โอ… เทพธิดา Zemyna ท่านหายไปอยู่ที่ใดกัน…
QUEST_20150317_000063	เจ้าเรียกสิ่งนี้ว่าอะไรเหรอ?
QUEST_20150317_000064	ข้าคิดว่าเทพธิดาแห่งผืนพสุธา Zemyna น่ะ  นางคงจะรู้สึกเศร้าโศกกว่าผู้ใดเป็นแน่แท้
QUEST_20150317_000065	ที่นี่น่ะเป็นถิ่นที่อาศัยของพวก Pokubu แต่บางทีก็มีมอนสเตอร์ที่หน้าตาไม่คุ้นออกมาให้เห็นอยู่บ้าง
QUEST_20150317_000066	ข้าได้ลองคิดไตร่ตรองดูแล้ว เหล่าเทพธิดาจะต้องละทิ้งพวกเราไปแล้วแน่ๆ{nl}ไม่อย่างนั้นก็คงไม่มีมอนสเตอร์ออกมามากมายขนาดนี้หรอก
QUEST_20150317_000067	ว่ากันว่ามีชายผู้ได้รับพรจากองค์เทพธิดาอาศัยอยู่ในป่านี้
QUEST_20150317_000068	ข้าอยากกลับบ้าน
QUEST_20150317_000069	ดูเหมือนจำนวนของพวกมอนสเตอร์จะไม่ลดลงเลยนะ ไม่ว่าเราจะฆ่ามันไปเท่าไหร่
QUEST_20150317_000070	{memo X}Revelator  Julian ส่งเจ้ามาที่นี่หรือ?
QUEST_20150317_000071	ข้าประหลาดใจจริงๆ{nl}เจ้าเป็นคนแรกที่ข้าได้พบตลอดระยะเวลาหลายปีมานี้{nl}
QUEST_20150317_000072	ข้าจะให้เจ้าดูสิ่งที่ข้าได้เห็น
QUEST_20150317_000073	{memo X}ได้โปรด  กลับไปซะแล้วลืมข้าเสีย{nl}ดูเหมือนว่าหมู่มวลดอกไม้จะผลิบานอย่างงดงามเลยนะ
QUEST_20150317_000074	$Lena
QUEST_20150317_000075	ท่านช่วยเล่าเรื่องราวชีวิตของท่านให้ข้าฟังได้หรือไม่{nl}พวกเราคือผู้ที่ทำตามความประสงค์ของ Vibora  เราจดบันทึกเรื่องราวทั้งหมดทั้งมวลที่เกิดขึ้นบนโลกใบนี้
QUEST_20150317_000076	$Henryka
QUEST_20150317_000077	สวัสดี!{nl}ยินดีต้อนรับสู่สมาพันธ์ผู้วิเศษสาขาเมือง Klaipeda{nl}เราเชี่ยวชาญในการศึกษาปรากฏการณ์แปลกๆ ที่เกิดขึ้นเมื่อมีการนำไอเทมพิเศษมาผสมเข้าด้วยกัน
QUEST_20150317_000078	แถวนี้น่ะไม่มีอะไรให้มองหาหรอกนอกจากไอน้ำกับพวก Vubbe…{nl}เดี๋ยวก่อน  ไอ้ตัวหน้าบานที่กำลังพุ่งมาทางนี้มันคือตัวอะไรกัน?!
QUEST_20150317_000079	แผ่นดินนี้ต้องการการดูแลจากพวกเราเช่นกัน{nl}นี่มันคงยังไม่ถึงคราวจบสิ้นของโลกนี้หรอก… ใช่ไหม?
QUEST_20150317_000080	หากเรายังคงไว้ซึ่งมารยาทอันดีต่อกันได้แล้วละก็ นั่นจึงเรียกว่าเรายังรู้วิธีการใช้ชีวิตที่ถูกต้อง{nl}ไม่ว่าเรื่องราววุ่นวายที่กำลังเกิดนี้จะเป็นฝีมือพวกเราเองหรือไม่ ข้าคิดว่านี่เป็นโอกาสอันดีที่เราควรจะเริ่มคิดได้แล้วว่าพวกเราหวังพึ่งองค์เทพธิดามากเกินไป
QUEST_20150317_000081	Bulletin Board
QUEST_20150317_000082	ยินดีต้อนรับสู่เมืองเหมืองแร่แห่งนคร Klaipeda!
QUEST_20150317_000083	Indifferent Widow
QUEST_20150317_000084	ข้าไม่แน่ใจหรอกนะว่าข้าเข้าใจมันทั้งหมด{nl}แต่อย่างหนึ่งที่ข้ามั่นใจมากคือเหล่าเทพธิดาน่ะ พวกนางไม่ได้หายตัวไปพร้อมกันทั้งหมดหรอกนะ
QUEST_20150317_000085	องค์แรกที่หายตัวไปคือเทพธิดา Gabija{nl}ข้าได้ยินมาว่ามันเกิดขึ้นเมื่อนานมากแล้ว{nl}พวกนางค่อยๆ หายไปทีละองค์ ทีละองค์ เริ่มจาก Gabija{nl}
QUEST_20150317_000086	เทพธิดา Vakarine จากไปก่อนจะถึงวันแห่งต้นไม้ศักดิ์สิทธิ์เพียงไม่นาน{memo EN version 'Medzio Diena', Official website version 'Medis Diena'}{nl}และทั้ง Zemyna กับ Ausrine ก็ตามไปไม่นานหลังจากนั้น{nl}นี่ก็ผ่านมา 4 ปีแล้วหลังจากที่มันเกิดขึ้น{nl}
QUEST_20150317_000087	{memo X}ใช่แล้ว ที่ประหลาดที่สุดคือเทพธิดา Laima{nl}ไม่มีใครรู้แน่ชัดหรอกว่านางได้หายตัวไปเมื่อไหร่{nl}
QUEST_20150317_000088	{memo X}และอีกอย่าง นางคือเทพธิดาแห่งโชคชะตาและปัญญาไม่ใช่หรือ?{nl}บางทีนางอาจจะรู้เรื่องทุกอย่างอยู่แล้วก็ได้
QUEST_20150317_000089	Resting Soldier
QUEST_20150317_000090	ข้าก็เคยเป็นนักผจญภัยอย่างเจ้านี่แหละ จนกระทั่งข้าโดนธนูปักเข้าที่หัวเข่า…{nl}
QUEST_20150317_000091	นั่นมันไม่มีความหมายหรอก  จงออกมาสู้กับข้า เจ้าปีศาจ!{nl}
QUEST_20150317_000092	เทพธิดาองค์หนึ่งเพิ่งจะปรากฎกายในความฝันของข้า…{nl}มันช่างเป็นอะไรที่… ชวนให้ลุ่มหลง…{nl}
QUEST_20150317_000093	แต่ข้ายังคงมีหน้าที่ต้องปกป้องอาณาจักร  นั่นคือเหตุผลที่ข้ามาที่นี่
QUEST_20150317_000094	Uska เป็นสหายเก่าของข้าเอง{nl}
QUEST_20150317_000095	พวกเราผ่านบททดสอบการเป็นอัศวินมาด้วยกัน  ที่เขาประสบความสำเร็จได้ขนาดนี้ก็มีข้าที่แหละที่เป็นส่วนหนึ่งที่ผลักดันเขา{nl}อา… มันช่างเป็นคืนวันที่สุดเหวี่ยงจริงๆ  ถ้าข้าได้เจอเจ้านั่นอีกก็คงดี
QUEST_20150317_000096	{memo X}แต่เจ้าอย่าไปเชื่อทุกสิ่งที่เขาพูดล่ะ{nl}ที่บ้านเกิด เขามีชื่อเสียอยู่ว่าออกจะเป็นพวกชอบโชว์พาวอะนะ{nl}
QUEST_20150317_000097	ข้ารึ? ข้าคิดซะว่ามันเป็นเรื่องตลกน่ะ ก็เลยไม่คิดจะไปยุ่งอะไรด้วย
QUEST_20150317_000098	เอ่อ… เดี๋ยวก่อนนะ  ข้าขอถอนคำพูดที่บอกว่าอย่าเชื่อทุกอย่างที่เจ้าหมอนั่นพูด{nl}
QUEST_20150317_000099	จริงๆ แล้วอะไรก็ตามที่ออกจากปากหมอนั่นมันเป็นเรื่องลวงทั้งหมดนั่นแหละ  อย่าไว้ใจเขาเด็ดขาด
QUEST_20150317_000100	Siauliai Guard
QUEST_20150317_000101	{memo X}ระวังตัวด้วย เส้นทางข้างหน้ามีมอนสเตอร์ป้วนเปี้ยนอยู่
QUEST_20150317_000102	ป่านี้ไม่ได้สงบสุขอย่างที่คิดหรอกนะ แต่ก็ถือว่าดีกว่าที่อื่นๆ มากแล้วล่ะ{nl}ข้าได้ยินว่าป่าบางแห่ง ไม่มีสิ่งใดอาศัยอยู่เลยนอกจากวิญญาณที่วนเวียนอยู่เต็มไปหมด
QUEST_20150317_000103	นั่นคือชื่อที่ใช้เรียกผู้ที่ได้เห็นองค์เทพธิดาในความฝันของพวกเขา{nl}
QUEST_20150317_000104	ข้าเคยคิดว่าสิ่งที่พวก Revelator เห็นน่ะมันคือสิ่งที่พวกเขาคิดและจินตนาการขึ้นมาเองจากความบ้าคลั่ง{nl}เพราะใครๆ ต่างก็รู้ว่าเหล่าเทพธิดาได้จากพวกเราไปตั้งนานแล้ว{nl}
QUEST_20150317_000105	ก็มันคือเรื่องจริงไม่ใช่หรือไง ที่เหล่าเทพธิดาไม่เคยตอบรับเสียงอ้อนวอนของพวกเราเลยสักครั้งหลังจากเกิดเหตุการณ์วันแห่งต้นไม้ศักดิ์สิทธิ์{memo Medzio Diena}เมื่อ 4 ปีก่อน?
QUEST_20150317_000106	Class Master ของหลายๆ อาชีพกระจายตัวอยู่รอบๆ อาณาจักร{nl}ทำไมเจ้าไม่ลองไปหาพวกเขาแล้วขอเรียนในสิ่งที่เจ้าพอจะเรียนได้ดูล่ะ?
QUEST_20150317_000107	อะไรนะ เจ้าไม่รู้เกี่ยวกับวันแห่งต้นไม้ศักดิ์สิทธิ์{memo Medzio Diena}งั้นเรอะ? นี่เจ้าคงเดินทางมากจากพื้นที่ห่างไกลสุดๆ เลยสิท่า{nl}เมื่อ 4 ปีก่อน มีเรื่องไม่ดีมากๆ เกิดขึ้นในเมืองหลวงน่ะ{nl}
QUEST_20150317_000108	{memo X}มันคือหายนะครั้งใหญ่…  ผู้คนมากมายบาดเจ็บและล้มตาย{nl}สิ่งมีชีวิตที่ครั้งหนึ่งเคยอ่อนโยนและน่ารักกลับกลายเป็นอสุรกายซ้ำยังมีพวกมอนสเตอร์หน้าใหม่ๆ โผล่ออกมาอีก{nl}
QUEST_20150317_000109	ถ้าเจ้าต้องการเข้าใจว่ามันเกิดอะไรขึ้นในวันแห่งต้นไม้ศักดิ์สิทธิ์เมื่อ 4 ปีก่อน  จงไปที่เมือง Klaipeda{nl}ผู้คนที่รอดตายจากเหตุการณ์ครั้งนั้นหลายคนลี้ภัยอยู่ที่นั่น
QUEST_20150317_000110	Eastern Woods Sentinel
QUEST_20150317_000111	เจ้ากำลังมุ่งหน้าไปที่ Eastern Woods งั้นรึ?{nl}เจ้าเข้าไปที่นั่นไม่ได้นะ มันอันตรายเกินไป!{nl}
QUEST_20150317_000112	ให้ตายสิ ไอ้ตัวดื้อด้านนั่นกัดพวกเราไม่ปล่อยเลย!
QUEST_20150317_000113	{memo X}เสียงกรีดร้องนั่นมัน…  เราถูกโจมตี!
QUEST_20150317_000114	Safety Instructions
QUEST_20150317_000115	1. เฉพาะผู้ที่ได้รับอนุญาตเท่านั้น{nl}2. ปฏิบัติตามคำสั่งของหัวหน้างานอย่างเคร่งครัด{nl}
QUEST_20150317_000116	3. อย่าเข้าใกล้พื้นที่ที่ถูกปิด{nl}4. หากพบบุคคลต้องสงสัย ต้องรายงานต่ออัศวินของเมือง Klaipeda ทันที
QUEST_20150317_000117	Supply Base Soldier
QUEST_20150317_000118	ข้าไม่เคยได้เข้าร่วมการต่อสู้จริงๆ เลยสักครั้ง ก็เลยรู้สึกตื่นเต้นนิดหน่อยน่ะ
QUEST_20150317_000119	Farm Sentinel
QUEST_20150317_000120	สหายร่วมรบของข้ากำลังต่อสู้อยู่ที่ Miners' Village{nl}ข้าคิดว่าอยากจะไปช่วย แต่ที่ Eastern Woods นี้ก็กำลังตกอยู่ในวิกฤตเหมือนกัน  ดังนั้นข้าจึงทำได้แค่เป็นกังวล
QUEST_20150317_000121	ข้าคิดว่าภารกิจนี้คงทำให้ข้ารู้สึกเอียนเจ้ามอนสเตอร์พวกนี้ไปจนตายเลยล่ะ{nl}เมื่อก่อนนี้ที่ข้าเจอ อย่างมากก็แค่กลุ่มของพวก Vubbe
QUEST_20150317_000122	{memo X}Chupacabra มันชอบลำธารและก็พืชพันธุ์ที่เขียวชอุ่มของพื้นที่ทางเหนือ
QUEST_20150317_000123	Klaipeda Guard Captain
QUEST_20150317_000124	นี่เจ้าคือ…
QUEST_20150317_000125	{memo X}ดูเหมือนเจ้าจะสามารถมองเห็นแนวป่าด้านบนได้จากตรงนี้นะ{nl}ระวังตัวด้วยล่ะ
QUEST_20150317_000126	คุณไม่มีไอเทมที่จำเป็นสำหรับการทำเควส คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?
QUEST_20150317_000127	Klaipeda Girl
QUEST_20150317_000128	เพื่อนบ้านของข้าก็เคยเป็นนักล่ามอนสเตอร์เหมือนกันนะ{nl}แต่เขาเลิกทำอาชีพนั้นแล้วล่ะ เขาบอกว่ามันเริ่มจะอันตรายเกินไปแล้ว
QUEST_20150317_000129	{memo X}ข้าอยากให้การที่พวก Revelator มารวมตัวกันที่นี่หมายความว่าเหล่าเทพธิดากำลังจะกลับมาจัง
QUEST_20150317_000130	มันอาจจะเป็นเรื่องงี่เง่าที่ยังหวังให้เหล่าเทพธิดากลับมา แต่มันก็ดีกว่าไม่มีความหวังอะไรเลย
QUEST_20150317_000131	Klaipeda Lady
QUEST_20150317_000132	พวกเรายังสามารถเติบโตได้บนแผ่นดินนี้ และยังคงมีบ้านอุ่นๆ ให้เราได้อาศัย{nl}ข้ายังเชื่อเสมอว่าเหล่าเทพธิดาไม่ได้หายไปไหน พวกนางยังอยู่ที่ไหนสักแห่งในโลกนี้แน่นอน
QUEST_20150317_000133	จงมีศรัทธา{nl}ข้าเชื่อว่าองค์เทพธิดาจะต้องส่งผู้กอบกู้{memo Savior}มาช่วยพวกเราแน่ๆ
QUEST_20150317_000134	Hoplite Master
QUEST_20150317_000135	ถ้าดาบคือเครื่องหมายแห่งอำนาจ อย่างนั้นหอกก็เป็นดั่งเช่นการทำลายล้าง{nl}เจ้าไขว่คว้าหาสิ่งใดเมื่อต้องลงสู่สนามรบ  อำนาจ หรือ การทำลายล้าง?
QUEST_20150317_000136	Machine Worker
QUEST_20150317_000137	ขนาดโลกกำลังปั่นป่วนขนาดนี้ แต่พวกเราก็ยังหยุดทำงานไม่ได้{nl}นี่ก็ผ่านมาตั้ง 4 ปีแล้ว มันยังไม่ถึงเวลาที่เราจะสงบศึกแล้วก็เริ่มต้นชีวิตใหม่กันอีกเหรอ?
QUEST_20150317_000138	รายได้หลักของเมือง Klaipeda น่ะมาจากการทำเหมืองซะเป็นส่วนใหญ่{nl}แต่หลังจากวันแห่งต้นไม้ศักดิ์สิทธิ์{memo Medzio Diena} ข้าว่าเราน่าจะเปลี่ยนไปทำอุตสาหกรรมตัดไม้มากกว่า
QUEST_20150317_000139	พ่อของข้าน่ะมีนิสัยแปลกๆ อยู่อย่างนึง เขาจะตรวจเช็คทุกหลืบ ทุกซอก ทุกมุมที่เขาผ่านเลยนะ ตาแก่นั่นหวังว่าจะเจออะไรที่มีค่าเข้าน่ะสิ{nl}แต่บางครั้งเขาก็ดวงดีจนน่าเหลือเชื่อ มีอยู่ครั้งหนึ่งเขาเจอสมบัติเป็นหีบเลยล่ะ  แต่ข้าสงสัยจริงๆ ว่าใครกันที่เอามันไปวางไว้ที่นั่น
QUEST_20150317_000140	Retired Hunter
QUEST_20150317_000141	ข้ายังจำได้ดีถึงการปะทะกันระหว่างพวกทหารกับมอนสเตอร์ขนาดยักษ์ตัวหนึ่งในหุบเขาลึก{nl}ตอนที่เห็นยักษ์ตนนั้นล้มลงข้านะรู้สึกทึ่งสุดๆ ไปเลย แต่ที่สุดยอดที่สุดคือตอนที่เห็นสมบัติที่มันทิ้งไว้ต่างหาก
QUEST_20150317_000142	Old Potter
QUEST_20150317_000143	ข้าใส่คำสวดของข้าลงไปในเครื่องดินเผาของข้าทุกชิ้น{nl}เพื่อที่วันหนึ่ง หม้อและไหพวกนี้จะเต็มเปี่ยมไปด้วยคำอวยพรของท่านเทพธิดา
QUEST_20150317_000144	{memo X}Swordman ควรจะต้องมีพละกำลัง(STR) หรือหากเจ้าต้องการจะฝึกฝนเพื่อให้มีความชำนาญ(DEX)และความแข็งแกร่ง(CON)ก็ย่อมได้{nl}แต่เจ้าต้องคิดเอาเองว่าจะเริ่มจากจุดไหนก่อนดี
QUEST_20150317_000145	Wizard พึ่งพาสติปัญญา(INT)เป็นหลัก แต่ก็ไม่ควรละเลยการฝึกฝนสมาธิ(SPR)ซึ่งจะช่วยให้สามารถใช้เวทย์มนตร์ได้มากขึ้น{nl}เจ้าต้องเลือกว่าจะให้ตัวเองมีความสมดุลหรือมีความโดดเด่นไปทางใดทางหนึ่ง{nl}
QUEST_20150317_000146	{memo X}สิ่งที่ Archer ธนูควรเน้นคือพละกำลัง(STR) แต่การฝึกให้มีความชำนาญและคล่องแคล่ว(DEX)ก็จะเป็นประโยชน์แก่เจ้าในการต่อสู้เช่นกัน{nl}ลองไตร่ตรองดูว่าเจ้าจะเริ่มฝึกฝนสิ่งใดก่อน{nl}
QUEST_20150317_000147	{memo X}Cleric จะเน้นไปที่สติปัญญา(INT) แต่บางครั้งพละกำลัง(STR)และสมาธิ(SPR)ก็สำคัญเช่นกัน{nl}แต่สิ่งแรกที่เจ้าต้องทำคือตัดสินใจซะก่อนว่าจะเลือกเดินไปทางใด{nl}
QUEST_20150317_000148	Doppelsoeldner Master
QUEST_20150317_000149	สิ่งที่ให้ผลคุ้มค่ามาพร้อมกับความเสี่ยงเสมอ{nl}เป็นธรรมาดาอยู่แล้ว ถ้าเจ้าอยากได้ค่าตอบแทนที่เยี่ยมยอด เจ้าต้องกล้าเอาตัวเองเข้าไปเสี่ยงกับอันตราย
QUEST_20150317_000150	Corsair Master
QUEST_20150317_000151	{memo X}ข้าจะไม่ยอมช่วยเหลือใครหรอกนะถ้าหากข้าคิดดูแล้วว่ามันไม่ได้ให้ประโยชน์อะไรต่อข้า
QUEST_20150317_000152	Boulder
